id,tanggal,kab,kec,kel,kk,jiwa,meninggal,hilang,luka,ungsi,ternak,rb,rs,rr,tmdm,sklh,ibdh,sarkes,ktr,kios,jmbtn,jln,swh,kebun,hutan,tmbk,kerugian,lat,lng,penyebab,kronologi,terdampak,tertimbun,tmdm_fu,tertimbun_fu,status,tertimbun_pendidikan,terendam_pendidikan,rr_pendidikan,rs_pendidikan,rb_pendidikan,tertimbun_kesehatan,terendam_kesehatan,rr_kesehatan,rs_kesehatan,rb_kesehatan,tertimbun_kantor,terendam_kantor,rr_kantor,rs_kantor,rb_kantor,tertimbun_ibadah,terendam_ibadah,rr_ibadah,rs_ibadah,rb_ibadah,rr_fu,rs_fu,rb_fu,tertimbun_jembatan,terendam_jembatan,rr_jembatan,rs_jembatan,rb_jembatan,tertimbun_pabrik,terendam_pabrik,rr_pabrik,rs_pabrik,rb_pabrik,tertimbun_toko,terendam_toko,rr_toko,rs_toko,rb_toko,lahan,irigasi,tertimbun_tanggul,terendam_tanggul,rr_tanggul,rs_tanggul,rb_tanggul,meninggal_laki,meninggal_perempuan,hilang_laki,hilang_perempuan,luka_laki,luka_perempuan,mengungsi_laki,mengungsi_perempuan,kategori_laki,kategori_perempuan
3640,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Boddie,32,0.0,0,0,0,0,0,0.0,0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0,4,0.0,-3.520275,119.4104,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 66 rumah terendam dan 106 ha sawah rusak serta 4 ha tambak yang rusak.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3639,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Manggalung,78,0.0,0,0,0,0,0,0.0,0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0,2,0.0,-3.388678,119.509277,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 66 rumah terendam dan 106 ha sawah rusak serta 2 ha tambak.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3638,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Tama'rupa,94,0.0,0,0,0,0,0,0.0,0,0.0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,0.0,0,0,0.0,-3.893028,120.003662,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 94 rumah terendam dan 126 ha sawah rusak.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3637,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Mandalle,66,0.0,0,0,0,0,0,0.0,0,0.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0,0,0.0,-4.090302,119.597168,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 66 rumah terendam dan 106 ha sawah rusak.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3636,22 Januari 2019,Kab. Pangkajene Kepulauan,Segeri,Segeri,300,0.0,0,0,0,0,0,0.0,0,0.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,-3.849183,119.926758,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 300 rumah terendam.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3635,22 Januari 2019,Kab. Pangkajene Kepulauan,Segeri,Parenreng,100,0.0,0,0,0,0,0,0.0,0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,-4.955511,120.179443,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 100 rumah terendam.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3634,22 Januari 2019,Kab. Pangkajene Kepulauan,Segeri,Bonto Matene,550,0.0,0,0,0,0,0,0.0,0,0.0,550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,-4.210834,120.179443,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 550 rumah terendam.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3633,22 Januari 2019,Kab. Pangkajene Kepulauan,Segeri,Bone,150,0.0,0,0,0,0,0,0.0,0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,-3.070581,119.487305,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 150 rumah terendam.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3632,22 Januari 2019,Kab. Pangkajene Kepulauan,Segeri,Baring,300,0.0,0,0,0,0,0,0.0,0,0.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,-3.169312,119.278564,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 300 rumah terendam.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631,22 Januari 2019,Kab. Pangkajene Kepulauan,Bungoro,Boriappaka,670,0.0,0,0,0,0,0,0.0,0,0.0,670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,-4.035508,119.970703,Curah hujan yang tinggi,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 670 rumah terendam.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
