tanggal,lat,lng
2021-10-03,-5.520501,119.465332
2021-11-19,-5.522516,119.978943
2021-11-19,-5.531629,119.988556
2021-11-19,-5.511965,120.001831
2021-12-11,-5.478317,120.216064
2022-12-24,-3.842491,120.242432
2022-12-23,-5.08382,119.633697
2022-12-20,-5.860095,120.514709
2022-12-16,-3.760641,119.589661
2022-12-13,-4.108246,119.91687
2022-02-09,-3.456398,119.931152
2022-04-12,-2.406671,120.412353
2022-11-16,-3.487103,119.163208
2022-03-14,-3.421305,119.119263
2022-08-31,-2.834226,120.167813
2022-08-31,-2.600429,120.242658
2022-08-31,-2.596999,120.246949
2022-08-31,-3.707322,119.743123
2022-08-30,-4.054995,120.028081
2022-08-30,-2.747554,120.28317
2022-08-30,-3.926218,119.898734
2022-10-27,-3.174704,119.148926
2022-07-22,-5.221734,119.853287
2022-07-22,-3.930498,119.76744
2022-06-19,-2.419019,120.577148
2022-06-18,-2.362672,120.741943
2022-11-18,-5.387611,119.753174
2022-11-18,-5.365735,119.544433
2022-11-18,-4.18335,120.060791
2022-11-18,-5.321981,119.76416
2022-11-18,-5.070334,119.610351
2022-07-22,-2.464179,120.375609
2022-07-22,-5.221734,119.856033
2022-07-22,-3.761486,119.657593
2022-07-21,-2.576798,120.437622
2022-07-15,-2.478017,122.459106
2022-06-13,-3.832648,120.313476
2022-09-07,-3.169312,121.052856
2022-09-10,-3.364093,120.335449
2022-07-11,-2.847033,120.443115
2022-04-07,-2.829202,120.38269
2022-11-08,-2.784933,120.245833
2022-09-24,-2.488993,120.62439
2022-10-08,-2.597171,120.251842
2022-09-20,-2.633731,120.638123
2022-09-20,-2.628243,120.671082
2022-06-06,-2.395603,120.478271
2022-05-09,-3.169312,119.96521
2022-01-07,-5.556941,120.130005
2022-05-29,-5.278223,119.9729
2022-05-26,-5.343858,119.830078
2022-05-26,-4.095689,120.027832
2022-03-21,-2.571219,120.291504
2022-06-03,-4.555799,119.874023
2022-02-04,-2.510671,120.723267
2022-06-03,-4.369598,120.005859
2022-02-22,-5.267284,119.522461
2022-02-22,-5.375215,119.577392
2022-02-21,-5.398549,119.852051
2022-02-21,-3.851649,120.247558
2022-10-18,-3.42697,120.159668
2022-10-18,-3.503734,120.203613
2022-10-18,-3.437937,120.236572
2022-10-18,-3.317297,120.269531
2022-10-18,-3.372136,120.247558
2022-02-21,-6.017048,120.459678
2022-02-19,-2.461461,120.357422
2022-02-18,-3.712061,119.742187
2022-02-17,-2.395603,120.379394
2022-02-16,-2.340718,120.500244
2022-02-16,-3.898416,119.786133
2022-02-16,-2.307786,120.71997
2022-02-13,-2.571219,120.324463
2022-01-20,-3.887455,120.170654
2022-06-10,-3.454205,120.162964
2022-06-10,-3.36647,120.151978
2022-06-10,-3.223884,120.075073
2022-09-10,-3.980625,119.871826
2022-05-10,-2.499695,120.17395
2022-05-10,-2.532622,120.2948
2022-05-10,-2.620424,120.338745
2022-05-10,-2.466767,120.404663
2022-08-10,-4.24343,120.009155
2022-06-10,-2.411885,119.791163
2022-08-31,-3.048366,120.119019
2022-08-31,-2.444814,120.130005
2022-08-31,-2.444814,120.130005
2022-08-31,-4.473475,119.84436
2022-08-30,-2.532622,120.217896
2022-08-30,-3.772174,119.833374
2022-11-08,-2.422862,120.206909
2022-10-08,-2.631399,120.2948
2023-06-09,-2.272018,120.335449
2023-05-24,-5.350946,120.201965
2023-02-07,-4.344905,120.02124
2023-04-07,-4.111191,119.984985
